"term","name","pathway_theme","pathway_scope"
"ko05225","Hepatocellular carcinoma","Reference disease pathway","Reference disease pathway"
"ko00190","Oxidative phosphorylation","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00860","Porphyrin metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko01110","Biosynthesis of secondary metabolites","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko02020","Two-component system","Transport and environmental response","Microbial/prokaryote-associated label"
"ko00920","Sulfur metabolism","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko01120","Microbial metabolism in diverse environments","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko04914","Progesterone-mediated oocyte maturation","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04122","Sulfur relay system","Cellular process","Eukaryote/metazoan-compatible"
"ko04142","Lysosome biogenesis","Cellular process","Eukaryote/metazoan-compatible"
"ko04144","Endocytosis","Cellular process","Eukaryote/metazoan-compatible"
"ko04217","Necroptosis","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04972","Pancreatic secretion","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04666","Fc gamma R-mediated phagosome formation","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko00531","Glycosaminoglycan degradation","Other KEGG pathway","Core metabolism or cross-domain"
"ko03410","Base excision repair","Other KEGG pathway","Core metabolism or cross-domain"
"ko05203","Viral carcinogenesis","Reference disease pathway","Reference disease pathway"
"ko04141","Protein processing in endoplasmic reticulum","Cellular process","Eukaryote/metazoan-compatible"
"ko03050","Proteasome","Genetic information processing","Core metabolism or cross-domain"
"ko05410","Hypertrophic cardiomyopathy","Other KEGG pathway","Core metabolism or cross-domain"
"ko05412","Arrhythmogenic right ventricular cardiomyopathy","Other KEGG pathway","Core metabolism or cross-domain"
"ko05414","Dilated cardiomyopathy","Other KEGG pathway","Core metabolism or cross-domain"
"ko05416","Viral myocarditis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00010","Glycolysis / Gluconeogenesis","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00040","Pentose and glucuronate interconversions","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00561","Glycerolipid metabolism","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko00930","Caprolactam degradation","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko01220","Degradation of aromatic compounds","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko04214","Apoptosis - fly","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04215","Apoptosis - multiple species","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko00310","Lysine degradation","Other KEGG pathway","Core metabolism or cross-domain"
"ko00220","Arginine biosynthesis","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00250","Alanine, aspartate and glutamate metabolism","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00471","ko00471","Other KEGG pathway","Core metabolism or cross-domain"
"ko04724","Glutamatergic synapse","Other KEGG pathway","Core metabolism or cross-domain"
"ko04727","GABAergic synapse","Other KEGG pathway","Core metabolism or cross-domain"
"ko04964","Proximal tubule bicarbonate reclamation","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05230","Central carbon metabolism in cancer","Carbohydrate and energy metabolism","Reference disease pathway"
"ko04330","Notch signaling pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko04340","Hedgehog signaling pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko04341","Hedgehog signaling pathway - fly","Cellular process","Eukaryote/metazoan-compatible"
"ko05202","Transcriptional misregulation in cancer","Genetic information processing","Reference disease pathway"
"ko00513","Various types of N-glycan biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko04911","Insulin secretion","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko00562","Inositol phosphate metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko03018","RNA degradation","Genetic information processing","Core metabolism or cross-domain"
"ko04013","MAPK signaling pathway - fly","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko05231","Choline metabolism in cancer","Reference disease pathway","Reference disease pathway"
"ko00130","Ubiquinone and other terpenoid-quinone biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00350","Tyrosine metabolism","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00360","Phenylalanine metabolism","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00564","Glycerophospholipid metabolism","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko00565","Ether lipid metabolism","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko00590","Arachidonic acid metabolism","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko00591","Linoleic acid metabolism","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko00592","alpha-Linolenic acid metabolism","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko04975","Fat digestion and absorption","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04919","Thyroid hormone signaling pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko03460","Fanconi anemia pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko04062","Chemokine signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko05032","Morphine addiction","Reference disease pathway","Reference disease pathway"
"ko00511","Other glycan degradation","Other KEGG pathway","Core metabolism or cross-domain"
"ko00230","Purine metabolism","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00730","Thiamine metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko04721","Synaptic vesicle cycle","Other KEGG pathway","Core metabolism or cross-domain"
"ko04979","Cholesterol metabolism","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko00330","Arginine and proline metabolism","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00410","beta-Alanine metabolism","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko04216","Ferroptosis","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04974","Protein digestion and absorption","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko00052","Galactose metabolism","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00500","Starch and sucrose metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko04726","Serotonergic synapse","Other KEGG pathway","Core metabolism or cross-domain"
"ko05012","Parkinson disease","Reference disease pathway","Reference disease pathway"
"ko05030","Cocaine addiction","Reference disease pathway","Reference disease pathway"
"ko05134","Legionellosis","Other KEGG pathway","Core metabolism or cross-domain"
"ko04066","HIF-1 signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko05211","Renal cell carcinoma","Reference disease pathway","Reference disease pathway"
"ko00910","Nitrogen metabolism","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00280","Valine, leucine and isoleucine degradation","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko04145","Phagocytosis","Cellular process","Eukaryote/metazoan-compatible"
"ko04730","Long-term depression","Other KEGG pathway","Core metabolism or cross-domain"
"ko04926","Relaxin signaling pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05014","Amyotrophic lateral sclerosis","Reference disease pathway","Reference disease pathway"
"ko04080","Neuroactive ligand-receptor interaction","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko03450","Non-homologous end-joining","Other KEGG pathway","Core metabolism or cross-domain"
"ko00071","Fatty acid degradation","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko01040","Biosynthesis of unsaturated fatty acids","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko01212","Fatty acid metabolism","Lipid and membrane metabolism","Broad KEGG reference map"
"ko03320","PPAR signaling pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04146","Peroxisome","Cellular process","Eukaryote/metazoan-compatible"
"ko04064","NF-kappa B signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04621","NOD-like receptor signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04657","IL-17 signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04668","TNF signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko05169","Epstein-Barr virus infection","Other KEGG pathway","Core metabolism or cross-domain"
"ko05222","Small cell lung cancer","Reference disease pathway","Reference disease pathway"
"ko03013","Nucleocytoplasmic transport","Genetic information processing","Core metabolism or cross-domain"
"ko03060","Protein export","Genetic information processing","Core metabolism or cross-domain"
"ko00510","N-Glycan biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00030","Pentose phosphate pathway","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko01200","Carbon metabolism","Carbohydrate and energy metabolism","Broad KEGG reference map"
"ko00053","Ascorbate and aldarate metabolism","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00140","Steroid hormone biosynthesis","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain"
"ko00830","Retinol metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko00514","Other types of O-glycan biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko05216","Thyroid cancer","Reference disease pathway","Reference disease pathway"
"ko02010","ABC transporters","Transport and environmental response","Core metabolism or cross-domain"
"ko00750","Vitamin B6 metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko04210","Apoptosis","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04723","Retrograde endocannabinoid signaling","Other KEGG pathway","Core metabolism or cross-domain"
"ko04932","Non-alcoholic fatty liver disease","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05164","Influenza A","Other KEGG pathway","Core metabolism or cross-domain"
"ko00970","Aminoacyl-tRNA biosynthesis","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00600","Sphingolipid metabolism","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko04624","Toll and Imd signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko03440","Homologous recombination","Other KEGG pathway","Core metabolism or cross-domain"
"ko05205","Proteoglycans in cancer","Reference disease pathway","Reference disease pathway"
"ko00020","Citrate cycle (TCA cycle)","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00380","Tryptophan metabolism","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko04072","Phospholipase D signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04976","Bile secretion","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko00051","Fructose and mannose metabolism","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00520","Amino sugar and nucleotide sugar metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko05322","Systemic lupus erythematosus","Other KEGG pathway","Core metabolism or cross-domain"
"ko04360","Axon guidance","Cellular process","Eukaryote/metazoan-compatible"
"ko00760","Nicotinate and nicotinamide metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko04514","Cell adhesion molecule (CAM) interaction","Cellular process","Eukaryote/metazoan-compatible"
"ko05144","Malaria","Other KEGG pathway","Core metabolism or cross-domain"
"ko04390","Hippo signaling pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko05161","Hepatitis B","Other KEGG pathway","Core metabolism or cross-domain"
"ko00680","Methane metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko04612","Antigen processing and presentation","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko00900","Terpenoid backbone biosynthesis","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00521","Streptomycin biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00524","Neomycin, kanamycin and gentamicin biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko04930","Type II diabetes mellitus","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04973","Carbohydrate digestion and absorption","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05100","Bacterial invasion of epithelial cells","Other KEGG pathway","Microbial/prokaryote-associated label"
"ko00790","Folate biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00240","Pyrimidine metabolism","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko03030","DNA replication","Genetic information processing","Core metabolism or cross-domain"
"ko03420","Nucleotide excision repair","Other KEGG pathway","Core metabolism or cross-domain"
"ko04962","Vasopressin-regulated water reabsorption","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04950","Maturity onset diabetes of the young","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04137","Mitophagy - animal","Cellular process","Eukaryote/metazoan-compatible"
"ko04659","Th17 cell differentiation","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04392","Hippo signaling pathway - multiple species","Cellular process","Eukaryote/metazoan-compatible"
"ko04810","Regulation of actin cytoskeleton","Other KEGG pathway","Core metabolism or cross-domain"
"ko03008","Ribosome biogenesis in eukaryotes","Genetic information processing","Core metabolism or cross-domain"
"ko00340","Histidine metabolism","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00620","Pyruvate metabolism","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00710","Carbon fixation by Calvin cycle","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko04260","Cardiac muscle contraction","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko00785","Lipoic acid metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko04614","Renin-angiotensin system","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","Other KEGG pathway","Core metabolism or cross-domain"
"ko04918","Thyroid hormone synthesis","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04923","Regulation of lipolysis in adipocytes","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05320","Autoimmune thyroid disease","Immune and stress signaling","Core metabolism or cross-domain"
"ko05160","Hepatitis C","Other KEGG pathway","Core metabolism or cross-domain"
"ko05162","Measles","Other KEGG pathway","Core metabolism or cross-domain"
"ko04712","Circadian rhythm - plant","Other KEGG pathway","Core metabolism or cross-domain"
"ko00515","Mannose type O-glycan biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko04978","Mineral absorption","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04130","SNARE interactions in vesicular transport","Cellular process","Eukaryote/metazoan-compatible"
"ko03020","RNA polymerase","Genetic information processing","Core metabolism or cross-domain"
"ko03430","Mismatch repair","Other KEGG pathway","Core metabolism or cross-domain"
"ko04920","Adipocytokine signaling pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05223","Non-small cell lung cancer","Reference disease pathway","Reference disease pathway"
"ko05226","Gastric cancer","Reference disease pathway","Reference disease pathway"
"ko00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","Other KEGG pathway","Core metabolism or cross-domain"
"ko04550","Signaling pathways regulating pluripotency of stem cells","Cellular process","Eukaryote/metazoan-compatible"
"ko01521","EGFR tyrosine kinase inhibitor resistance","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00640","Propanoate metabolism","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00440","Phosphonate and phosphinate metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko00073","Cutin, suberine and wax biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko04931","Insulin resistance","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04012","ErbB signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04725","Cholinergic synapse","Other KEGG pathway","Core metabolism or cross-domain"
"ko04611","Platelet activation","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04620","Toll-like receptor signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04622","RIG-I-like receptor signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04650","Natural killer cell mediated cytotoxicity","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04933","AGE-RAGE signaling pathway in diabetic complications","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05142","Chagas disease","Other KEGG pathway","Core metabolism or cross-domain"
"ko05145","Toxoplasmosis","Other KEGG pathway","Core metabolism or cross-domain"
"ko05146","Amoebiasis","Other KEGG pathway","Core metabolism or cross-domain"
"ko05210","Colorectal cancer","Reference disease pathway","Reference disease pathway"
"ko04623","Cytosolic DNA-sensing pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04966","Collecting duct acid secretion","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05323","Rheumatoid arthritis","Other KEGG pathway","Core metabolism or cross-domain"
"ko05224","Breast cancer","Reference disease pathway","Reference disease pathway"
"ko00770","Pantothenate and CoA biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","Other KEGG pathway","Core metabolism or cross-domain"
"ko04139","Mitophagy - yeast","Cellular process","Eukaryote/metazoan-compatible"
"ko00740","Riboflavin metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko05212","Pancreatic cancer","Reference disease pathway","Reference disease pathway"
"ko05215","Prostate cancer","Reference disease pathway","Reference disease pathway"
"ko04960","Aldosterone-regulated sodium reabsorption","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04961","Endocrine and other factor-regulated calcium reabsorption","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04510","Focal adhesion","Cellular process","Eukaryote/metazoan-compatible"
"ko04670","Leukocyte transendothelial migration","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko05130","Pathogenic Escherichia coli infection","Other KEGG pathway","Core metabolism or cross-domain"
"ko05131","Shigellosis","Other KEGG pathway","Core metabolism or cross-domain"
"ko01523","Antifolate resistance","Other KEGG pathway","Core metabolism or cross-domain"
"ko03022","Basal transcription factors","Genetic information processing","Core metabolism or cross-domain"
"ko00630","Glyoxylate and dicarboxylate metabolism","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00670","One carbon pool by folate","Other KEGG pathway","Core metabolism or cross-domain"
"ko04512","ECM-receptor interaction","Cellular process","Eukaryote/metazoan-compatible"
"ko04710","Circadian rhythm","Other KEGG pathway","Core metabolism or cross-domain"
"ko04711","Circadian rhythm - fly","Other KEGG pathway","Core metabolism or cross-domain"
"ko00400","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko04350","TGF-beta signaling pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko01522","Endocrine resistance","Other KEGG pathway","Core metabolism or cross-domain"
"ko05221","Acute myeloid leukemia","Reference disease pathway","Reference disease pathway"
"ko00450","Selenocompound metabolism","Other KEGG pathway","Core metabolism or cross-domain"
"ko00650","Butanoate metabolism","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko05020","Prion disease","Reference disease pathway","Reference disease pathway"
"ko05218","Melanoma","Reference disease pathway","Reference disease pathway"
"ko04370","VEGF signaling pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko04380","Osteoclast differentiation","Cellular process","Eukaryote/metazoan-compatible"
"ko04662","B cell receptor signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04664","Fc epsilon RI signaling pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko05217","Basal cell carcinoma","Reference disease pathway","Reference disease pathway"
